make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Acura,Legend,Tier 1,Official Press Kit / Gallery,1,0,0,0,0%,,11,1,2026-03-13T06:56:11Z
Acura,Nsx,Tier 2,Photo Gallery,1,0,0,0,0%,,30,1,2026-03-13T07:05:26Z
Acura,Nsx,Tier 2,Photo Gallery,1,16,0,16,100.0%,,135,0,2026-03-13T07:08:38Z
Alfa Romeo,Spider,Tier 1,Official Press Kit / Gallery,1,8,0,8,100.0%,,94,0,2026-03-13T07:09:39Z
Acura,Nsx,Tier 2,Photo Gallery,1,87,0,87,100.0%,,805,0,2026-03-13T07:12:07Z
Alfa Romeo,Spider,Tier 1,Official Press Kit / Gallery,1,8,0,8,100.0%,,88,0,2026-03-13T07:22:20Z
Alfa Romeo,Spider,Tier 1,Official Press Kit / Gallery,1,8,0,8,100.0%,,86,0,2026-03-13T07:24:41Z
Acura,Nsx,Tier 2,Photo Gallery,1,16,12,4,25.0%,,131,0,2026-03-13T07:43:34Z
Acura,Nsx,Tier 2,Photo Gallery,1,16,12,4,25.0%,,99,0,2026-03-13T08:04:13Z
Acura,Legend,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,12,0,2026-03-13T08:19:58Z
Acura,Integra,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,23,0,2026-03-13T08:20:21Z
Acura,Nsx,Tier 1,Official Press Kit / Gallery,2,16,12,4,25.0%,,72,0,2026-03-13T08:21:34Z
Acura,Vigor,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,7,0,2026-03-13T08:21:42Z
Acura,Tl,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,166,0,2026-03-13T08:24:29Z
Acura,Rl,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,169,0,2026-03-13T08:27:18Z
Acura,Cl,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,168,0,2026-03-13T08:30:06Z
Acura,Mdx,Tier 1,Official Press Kit / Gallery,2,0,0,0,0%,,16,0,2026-03-13T08:30:23Z
